Name,Form,HP,Attack,Defense,Speed,Sp Attack,Sp Defense,BST,Types,Type1,Type2,Abilities,Ability1,Ability2,HiddenAbility,Generation,Evolutions
Exeggutor,Alola,95,105,85,45,125,75,530,"Grass, Dragon",Grass,Dragon,"Frisk, None, Harvest",Frisk,None,Harvest,1,
Cubone,,50,50,95,35,40,50,320,Ground,Ground,,"Rock Head, Lightning Rod, Battle Armor",Rock Head,Lightning Rod,Battle Armor,1,Marowak (28)
Marowak,,60,80,110,45,50,80,425,Ground,Ground,,"Rock Head, Lightning Rod, Battle Armor",Rock Head,Lightning Rod,Battle Armor,1,
Marowak,Alola,60,80,110,45,50,80,425,"Fire, Ghost",Fire,Ghost,"Cursed Body, Lightning Rod, Rock Head",Cursed Body,Lightning Rod,Rock Head,1,
Marowak,Alola Totem,60,80,110,45,50,80,425,"Fire, Ghost",Fire,Ghost,"Rock Head, None, None",Rock Head,None,None,1,
Tyrogue,,35,35,35,35,35,35,210,Fighting,Fighting,,"Guts, Steadfast, Vital Spirit",Guts,Steadfast,Vital Spirit,1,"Hitmonchan, Hitmonlee, Hitmontop"
Hitmonlee,,50,120,53,87,35,110,455,Fighting,Fighting,,"Limber, Reckless, Unburden",Limber,Reckless,Unburden,1,
Hitmonchan,,50,105,79,76,35,110,455,Fighting,Fighting,,"Keen Eye, Iron Fist, Inner Focus",Keen Eye,Iron Fist,Inner Focus,1,
Hitmontop,,50,95,95,70,35,110,455,Fighting,Fighting,,"Intimidate, Technician, Steadfast",Intimidate,Technician,Steadfast,1,
Lickitung,,90,55,75,30,60,75,385,Normal,Normal,,"Own Tempo, Oblivious, Cloud Nine",Own Tempo,Oblivious,Cloud Nine,1,Lickilicky
Lickilicky,,110,85,95,50,80,95,515,Normal,Normal,,"Own Tempo, Oblivious, Cloud Nine",Own Tempo,Oblivious,Cloud Nine,1,
Koffing,,40,65,95,35,60,45,340,Poison,Poison,,"Levitate, Neutralizing Gas, Stench",Levitate,Neutralizing Gas,Stench,1,Weezing (35)
Weezing,,65,90,120,60,85,70,490,Poison,Poison,,"Levitate, Neutralizing Gas, Stench",Levitate,Neutralizing Gas,Stench,1,
Weezing,Galar,65,90,120,60,85,70,490,"Poison, Fairy",Poison,Fairy,"Levitate, Neutralizing Gas, Misty Surge",Levitate,Neutralizing Gas,Misty Surge,1,
Rhyhorn,,80,85,95,25,30,30,345,"Ground, Rock",Ground,Rock,"Lightning Rod, Rock Head, Reckless",Lightning Rod,Rock Head,Reckless,1,Rhydon (42)
Rhydon,,105,130,120,40,45,45,485,"Ground, Rock",Ground,Rock,"Lightning Rod, Rock Head, Reckless",Lightning Rod,Rock Head,Reckless,1,"Rhyperior, Rhyperior (Protector)"
Rhyperior,,115,140,130,40,55,55,535,"Ground, Rock",Ground,Rock,"Lightning Rod, Solid Rock, Reckless",Lightning Rod,Solid Rock,Reckless,1,
Happiny,,100,5,5,30,15,65,220,Normal,Normal,,"Natural Cure, Serene Grace, Friend Guard",Natural Cure,Serene Grace,Friend Guard,1,"Chansey, Chansey"
Chansey,,250,5,5,50,35,105,450,Normal,Normal,,"Natural Cure, Serene Grace, Healer",Natural Cure,Serene Grace,Healer,1,Blissey (Happiness)
Blissey,,255,10,10,55,75,135,540,Normal,Normal,,"Natural Cure, Serene Grace, Healer",Natural Cure,Serene Grace,Healer,1,
Tangela,,65,55,115,60,100,40,435,Grass,Grass,,"Chlorophyll, Leaf Guard, Regenerator",Chlorophyll,Leaf Guard,Regenerator,1,Tangrowth
Tangrowth,,100,100,125,50,110,50,535,Grass,Grass,,"Chlorophyll, Leaf Guard, Regenerator",Chlorophyll,Leaf Guard,Regenerator,1,
Kangaskhan,,105,95,80,90,40,80,490,Normal,Normal,,"Early Bird, Scrappy, Inner Focus",Early Bird,Scrappy,Inner Focus,1,
Kangaskhan,Mega,105,125,100,100,60,100,590,Normal,Normal,,"Parental Bond, Parental Bond, Parental Bond",Parental Bond,Parental Bond,Parental Bond,1,
Horsea,,30,40,70,60,70,25,295,Water,Water,,"Swift Swim, Sniper, Damp",Swift Swim,Sniper,Damp,1,Seadra (32)
Seadra,,55,65,95,85,95,45,440,Water,Water,,"Poison Point, Sniper, Damp",Poison Point,Sniper,Damp,1,"Kingdra, Kingdra (Dragon Scale)"
Kingdra,,75,95,95,85,95,95,540,"Water, Dragon",Water,Dragon,"Swift Swim, Sniper, Damp",Swift Swim,Sniper,Damp,1,
Goldeen,,45,67,60,63,35,50,320,Water,Water,,"Swift Swim, Water Veil, Lightning Rod",Swift Swim,Water Veil,Lightning Rod,1,Seaking (33)
Seaking,,80,92,65,68,65,80,450,Water,Water,,"Swift Swim, Water Veil, Lightning Rod",Swift Swim,Water Veil,Lightning Rod,1,
Staryu,,30,45,55,85,70,55,340,Water,Water,,"Illuminate, Natural Cure, Analytic",Illuminate,Natural Cure,Analytic,1,Starmie (Water Stone)
Starmie,,60,75,85,115,100,85,520,"Water, Psychic",Water,Psychic,"Illuminate, Natural Cure, Analytic",Illuminate,Natural Cure,Analytic,1,
Mime Jr.,,20,25,45,60,70,90,310,"Psychic, Fairy",Psychic,Fairy,"Soundproof, Filter, Technician",Soundproof,Filter,Technician,1,Mr Mime
Mr. Mime,,40,45,65,90,100,120,460,"Psychic, Fairy",Psychic,Fairy,"Soundproof, Filter, Technician",Soundproof,Filter,Technician,1,
Mr. Mime,Galar,50,65,65,100,90,90,460,"Ice, Psychic",Ice,Psychic,"Vital Spirit, Screen Cleaner, Ice Body",Vital Spirit,Screen Cleaner,Ice Body,1,Mr Rime (42)
Mr. Rime,,80,85,75,70,110,100,520,"Ice, Psychic",Ice,Psychic,"Tangled Feet, Screen Cleaner, Ice Body",Tangled Feet,Screen Cleaner,Ice Body,1,
Scyther,,70,110,80,105,55,80,500,"Bug, Flying",Bug,Flying,"Swarm, Technician, Steadfast",Swarm,Technician,Steadfast,1,"Scizor, Kleavor (Black Augurite), Scizor (Metal Coat)"
Scizor,,70,130,100,65,55,80,500,"Bug, Steel",Bug,Steel,"Swarm, Technician, Light Metal",Swarm,Technician,Light Metal,1,
Scizor,Mega,70,150,140,75,65,100,600,"Bug, Steel",Bug,Steel,"Technician, Technician, Technician",Technician,Technician,Technician,1,
Kleavor,,70,135,95,85,45,70,500,"Bug, Rock",Bug,Rock,"Swarm, Sheer Force, Sharpness",Swarm,Sheer Force,Sharpness,1,
Smoochum,,45,30,15,65,85,65,305,"Ice, Psychic",Ice,Psychic,"Oblivious, Forewarn, Hydration",Oblivious,Forewarn,Hydration,1,Jynx (30)
Jynx,,65,50,35,95,115,95,455,"Ice, Psychic",Ice,Psychic,"Oblivious, Forewarn, Dry Skin",Oblivious,Forewarn,Dry Skin,1,
Elekid,,45,63,37,95,65,55,360,Electric,Electric,,"Static, None, Vital Spirit",Static,None,Vital Spirit,1,Electabuzz (30)
Electabuzz,,65,83,57,105,95,85,490,Electric,Electric,,"Static, None, Vital Spirit",Static,None,Vital Spirit,1,"Electivire, Electivire (Electirizer)"
Electivire,,75,123,67,95,95,85,540,Electric,Electric,,"Motor Drive, None, Vital Spirit",Motor Drive,None,Vital Spirit,1,
Magby,,45,75,37,83,70,55,365,Fire,Fire,,"Flame Body, None, Vital Spirit",Flame Body,None,Vital Spirit,1,Magmar (30)
Magmar,,65,95,57,93,100,85,495,Fire,Fire,,"Flame Body, None, Vital Spirit",Flame Body,None,Vital Spirit,1,"Magmortar, Magmortar (Magmarizer)"
Magmortar,,75,95,67,83,125,95,540,Fire,Fire,,"Flame Body, None, Vital Spirit",Flame Body,None,Vital Spirit,1,
Pinsir,,65,125,100,85,55,70,500,Bug,Bug,,"Hyper Cutter, Mold Breaker, Moxie",Hyper Cutter,Mold Breaker,Moxie,1,
Pinsir,Mega,65,155,120,105,65,90,600,"Bug, Flying",Bug,Flying,"Aerilate, Aerilate, Aerilate",Aerilate,Aerilate,Aerilate,1,
Tauros,,75,100,95,110,40,70,490,Normal,Normal,,"Intimidate, Anger Point, Sheer Force",Intimidate,Anger Point,Sheer Force,1,
Tauros,Paldea Combat,75,110,105,100,30,70,490,Fighting,Fighting,,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew,1,
Tauros,Paldea Blaze,75,110,105,100,30,70,490,"Fighting, Fire",Fighting,Fire,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew,1,
Tauros,Paldea Aqua,75,110,105,100,30,70,490,"Fighting, Water",Fighting,Water,"Intimidate, Anger Point, Cud Chew",Intimidate,Anger Point,Cud Chew,1,
Magikarp,,20,10,55,80,15,20,200,Water,Water,,"Swift Swim, None, Rattled",Swift Swim,None,Rattled,1,Gyarados (20)
Gyarados,,95,125,79,81,60,100,540,"Water, Flying",Water,Flying,"Intimidate, None, Moxie",Intimidate,None,Moxie,1,
Gyarados,Mega,95,155,109,81,70,130,640,"Water, Dark",Water,Dark,"Mold Breaker, Mold Breaker, Mold Breaker",Mold Breaker,Mold Breaker,Mold Breaker,1,
Lapras,,130,85,80,60,85,95,535,"Water, Ice",Water,Ice,"Water Absorb, Shell Armor, Hydration",Water Absorb,Shell Armor,Hydration,1,
Lapras,Gmax,130,85,80,60,85,95,535,"Water, Ice",Water,Ice,"Water Absorb, Shell Armor, Hydration",Water Absorb,Shell Armor,Hydration,1,
Ditto,,48,48,48,48,48,48,288,Normal,Normal,,"Limber, None, Imposter",Limber,None,Imposter,1,
Eevee,,55,55,50,55,45,65,325,Normal,Normal,,"Run Away, Adaptability, Anticipation",Run Away,Adaptability,Anticipation,1,"Jolteon (Thunder Stone), Vaporeon (Water Stone), Flareon (Fire Stone), Sylveon (Happiness), Espeon (Happiness), Umbreon (Happiness), Leafeon, Leafeon (Leaf Stone), Glaceon, Glaceon (Ice Stone)"
Eevee,Gmax,55,55,50,55,45,65,325,Normal,Normal,,"Run Away, Adaptability, Anticipation",Run Away,Adaptability,Anticipation,1,
Eevee,Starter,65,75,70,75,65,85,435,Normal,Normal,,"Run Away, Adaptability, Anticipation",Run Away,Adaptability,Anticipation,1,
Vaporeon,,130,65,60,65,110,95,525,Water,Water,,"Water Absorb, Water Absorb, Hydration",Water Absorb,Water Absorb,Hydration,1,
Jolteon,,65,65,60,130,110,95,525,Electric,Electric,,"Volt Absorb, Volt Absorb, Quick Feet",Volt Absorb,Volt Absorb,Quick Feet,1,
Flareon,,65,130,60,65,95,110,525,Fire,Fire,,"Flash Fire, Flash Fire, Guts",Flash Fire,Flash Fire,Guts,1,
Espeon,,65,65,60,110,130,95,525,Psychic,Psychic,,"Synchronize, Synchronize, Magic Bounce",Synchronize,Synchronize,Magic Bounce,1,
Umbreon,,95,65,110,65,60,130,525,Dark,Dark,,"Synchronize, Synchronize, Inner Focus",Synchronize,Synchronize,Inner Focus,1,
Leafeon,,65,110,130,95,60,65,525,Grass,Grass,,"Leaf Guard, Leaf Guard, Chlorophyll",Leaf Guard,Leaf Guard,Chlorophyll,1,
Glaceon,,65,60,110,65,130,95,525,Ice,Ice,,"Snow Cloak, Snow Cloak, Ice Body",Snow Cloak,Snow Cloak,Ice Body,1,
Sylveon,,95,65,65,60,110,130,525,Fairy,Fairy,,"Cute Charm, Cute Charm, Pixilate",Cute Charm,Cute Charm,Pixilate,1,
Porygon,,65,60,70,40,85,75,395,Normal,Normal,,"Trace, Download, Analytic",Trace,Download,Analytic,1,"Porygon2, Porygon2 (Upgrade)"
Porygon2,,85,80,90,60,105,95,515,Normal,Normal,,"Trace, Download, Analytic",Trace,Download,Analytic,1,"Porygon Z, Porygon Z (Dubious Disc)"
Porygon-Z,,85,80,70,90,135,75,535,Normal,Normal,,"Adaptability, Download, Analytic",Adaptability,Download,Analytic,1,
Omanyte,,35,40,100,35,90,55,355,"Rock, Water",Rock,Water,"Swift Swim, Shell Armor, Weak Armor",Swift Swim,Shell Armor,Weak Armor,1,Omastar (40)
Omastar,,70,60,125,55,115,70,495,"Rock, Water",Rock,Water,"Swift Swim, Shell Armor, Weak Armor",Swift Swim,Shell Armor,Weak Armor,1,
Kabuto,,30,80,90,55,55,45,355,"Rock, Water",Rock,Water,"Swift Swim, Battle Armor, Weak Armor",Swift Swim,Battle Armor,Weak Armor,1,Kabutops (40)
Kabutops,,60,115,105,80,65,70,495,"Rock, Water",Rock,Water,"Swift Swim, Battle Armor, Weak Armor",Swift Swim,Battle Armor,Weak Armor,1,
Aerodactyl,,80,105,65,130,60,75,515,"Rock, Flying",Rock,Flying,"Rock Head, Pressure, Unnerve",Rock Head,Pressure,Unnerve,1,
Aerodactyl,Mega,80,135,85,150,70,95,615,"Rock, Flying",Rock,Flying,"Tough Claws, Tough Claws, Tough Claws",Tough Claws,Tough Claws,Tough Claws,1,
Munchlax,,135,85,40,5,40,85,390,Normal,Normal,,"Pickup, Thick Fat, Gluttony",Pickup,Thick Fat,Gluttony,1,Snorlax (Happiness)
Snorlax,,160,110,65,30,65,110,540,Normal,Normal,,"Immunity, Thick Fat, Gluttony",Immunity,Thick Fat,Gluttony,1,
Snorlax,Gmax,160,110,65,30,65,110,540,Normal,Normal,,"Immunity, Thick Fat, Gluttony",Immunity,Thick Fat,Gluttony,1,
Articuno,,90,85,100,85,95,125,580,"Ice, Flying",Ice,Flying,"Pressure, None, Snow Cloak",Pressure,None,Snow Cloak,1,
Articuno,Galar,90,85,85,95,125,100,580,"Psychic, Flying",Psychic,Flying,"Competitive, None, None",Competitive,None,None,1,
Zapdos,,90,90,85,100,125,90,580,"Electric, Flying",Electric,Flying,"Pressure, None, Static",Pressure,None,Static,1,
Zapdos,Galar,90,125,90,100,85,90,580,"Fighting, Flying",Fighting,Flying,"Defiant, None, None",Defiant,None,None,1,
Moltres,,90,100,90,90,125,85,580,"Fire, Flying",Fire,Flying,"Pressure, None, Flame Body",Pressure,None,Flame Body,1,
Moltres,Galar,90,85,90,90,100,125,580,"Dark, Flying",Dark,Flying,"Berserk, None, None",Berserk,None,None,1,
Dratini,,41,64,45,50,50,50,300,Dragon,Dragon,,"Shed Skin, None, Marvel Scale",Shed Skin,None,Marvel Scale,1,Dragonair (30)
Dragonair,,61,84,65,70,70,70,420,Dragon,Dragon,,"Shed Skin, None, Marvel Scale",Shed Skin,None,Marvel Scale,1,Dragonite (55)
Dragonite,,91,134,95,80,100,100,600,"Dragon, Flying",Dragon,Flying,"Inner Focus, None, Multiscale",Inner Focus,None,Multiscale,1,
Mewtwo,,106,110,90,130,154,90,680,Psychic,Psychic,,"Pressure, None, Unnerve",Pressure,None,Unnerve,1,
Mewtwo,Mega X,106,190,100,130,154,100,780,"Psychic, Fighting",Psychic,Fighting,"Steadfast, Steadfast, Steadfast",Steadfast,Steadfast,Steadfast,1,
Mewtwo,Mega Y,106,150,70,140,194,120,780,Psychic,Psychic,,"Insomnia, Insomnia, Insomnia",Insomnia,Insomnia,Insomnia,1,
Mew,,100,100,100,100,100,100,600,Psychic,Psychic,,"Synchronize, None, None",Synchronize,None,None,1,
Chikorita,,45,49,65,45,49,65,318,Grass,Grass,,"Overgrow, None, Leaf Guard",Overgrow,None,Leaf Guard,2,Bayleef (16)
Bayleef,,60,62,80,60,63,80,405,Grass,Grass,,"Overgrow, None, Leaf Guard",Overgrow,None,Leaf Guard,2,Meganium (32)
Meganium,,80,82,100,80,83,100,525,Grass,Grass,,"Overgrow, None, Leaf Guard",Overgrow,None,Leaf Guard,2,
Cyndaquil,,39,52,43,65,60,50,309,Fire,Fire,,"Blaze, None, Flash Fire",Blaze,None,Flash Fire,2,Quilava (14)
Quilava,,58,64,58,80,80,65,405,Fire,Fire,,"Blaze, None, Flash Fire",Blaze,None,Flash Fire,2,Typhlosion (36)
Typhlosion,,78,84,78,100,109,85,534,Fire,Fire,,"Blaze, None, Flash Fire",Blaze,None,Flash Fire,2,
Typhlosion,Hisui,73,84,78,95,119,85,534,"Fire, Ghost",Fire,Ghost,"Blaze, None, Frisk",Blaze,None,Frisk,2,
Totodile,,50,65,64,43,44,48,314,Water,Water,,"Torrent, None, Sheer Force",Torrent,None,Sheer Force,2,Croconaw (18)
Croconaw,,65,80,80,58,59,63,405,Water,Water,,"Torrent, None, Sheer Force",Torrent,None,Sheer Force,2,Feraligatr (30)
Feraligatr,,85,105,100,78,79,83,530,Water,Water,,"Torrent, None, Sheer Force",Torrent,None,Sheer Force,2,
Sentret,,35,46,34,20,35,45,215,Normal,Normal,,"Run Away, Keen Eye, Frisk",Run Away,Keen Eye,Frisk,2,Furret (15)
Furret,,85,76,64,90,45,55,415,Normal,Normal,,"Run Away, Keen Eye, Frisk",Run Away,Keen Eye,Frisk,2,
Hoothoot,,60,30,30,50,36,56,262,"Normal, Flying",Normal,Flying,"Insomnia, Keen Eye, Tinted Lens",Insomnia,Keen Eye,Tinted Lens,2,Noctowl (20)
Noctowl,,100,50,50,70,86,96,452,"Normal, Flying",Normal,Flying,"Insomnia, Keen Eye, Tinted Lens",Insomnia,Keen Eye,Tinted Lens,2,
Ledyba,,40,20,30,55,40,80,265,"Bug, Flying",Bug,Flying,"Swarm, Early Bird, Rattled",Swarm,Early Bird,Rattled,2,Ledian (18)
Ledian,,55,35,50,85,55,110,390,"Bug, Flying",Bug,Flying,"Swarm, Early Bird, Iron Fist",Swarm,Early Bird,Iron Fist,2,
Spinarak,,40,60,40,30,40,40,250,"Bug, Poison",Bug,Poison,"Swarm, Insomnia, Sniper",Swarm,Insomnia,Sniper,2,Ariados (22)
Ariados,,70,90,70,40,60,70,400,"Bug, Poison",Bug,Poison,"Swarm, Insomnia, Sniper",Swarm,Insomnia,Sniper,2,
Chinchou,,75,38,38,67,56,56,330,"Water, Electric",Water,Electric,"Volt Absorb, Illuminate, Water Absorb",Volt Absorb,Illuminate,Water Absorb,2,Lanturn (27)
Lanturn,,125,58,58,67,76,76,460,"Water, Electric",Water,Electric,"Volt Absorb, Illuminate, Water Absorb",Volt Absorb,Illuminate,Water Absorb,2,
Togepi,,35,20,65,20,40,65,245,Togepi Family Type,Togepi Family Type,,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck,2,Togetic (Happiness)
Togetic,,55,40,85,40,80,105,405,"Togepi Family Type, Flying",Togepi Family Type,Flying,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck,2,Togekiss (Shiny Stone)
Togekiss,,85,50,95,80,120,115,545,"Togepi Family Type, Flying",Togepi Family Type,Flying,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck,2,
Natu,,40,50,45,70,70,45,320,"Psychic, Flying",Psychic,Flying,"Synchronize, Early Bird, Magic Bounce",Synchronize,Early Bird,Magic Bounce,2,Xatu (25)
Xatu,,65,75,70,95,95,70,470,"Psychic, Flying",Psychic,Flying,"Synchronize, Early Bird, Magic Bounce",Synchronize,Early Bird,Magic Bounce,2,
Mareep,,55,40,40,35,65,45,280,Electric,Electric,,"Static, None, Plus",Static,None,Plus,2,Flaaffy (15)
Flaaffy,,70,55,55,45,80,60,365,Electric,Electric,,"Static, None, Plus",Static,None,Plus,2,Ampharos (30)
Ampharos,,90,75,85,55,115,90,510,Electric,Electric,,"Static, None, Plus",Static,None,Plus,2,
Ampharos,Mega,90,95,0,45,165,110,505,"Electric, Dragon",Electric,Dragon,"Mold Breaker, Mold Breaker, Mold Breaker",Mold Breaker,Mold Breaker,Mold Breaker,2,
Azurill,,50,20,40,20,20,40,190,"Normal, Fairy",Normal,Fairy,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper,2,Marill (Happiness)
Marill,,70,20,50,40,20,50,250,"Water, Fairy",Water,Fairy,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper,2,Azumarill (18)
Azumarill,,100,50,80,50,60,80,420,"Water, Fairy",Water,Fairy,"Thick Fat, Huge Power, Sap Sipper",Thick Fat,Huge Power,Sap Sipper,2,
Bonsly,,50,80,95,10,10,45,290,Rock,Rock,,"Sturdy, Rock Head, Rattled",Sturdy,Rock Head,Rattled,2,Sudowoodo
Sudowoodo,,70,100,115,30,30,65,410,Rock,Rock,,"Sturdy, Rock Head, Rattled",Sturdy,Rock Head,Rattled,2,
Hoppip,,35,35,40,50,35,55,250,"Grass, Flying",Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator,2,Skiploom (18)
Skiploom,,55,45,50,80,45,65,340,"Grass, Flying",Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator,2,Jumpluff (27)
Jumpluff,,75,55,70,110,55,95,460,"Grass, Flying",Grass,Flying,"Chlorophyll, Leaf Guard, Infiltrator",Chlorophyll,Leaf Guard,Infiltrator,2,
Aipom,,55,70,55,85,40,55,360,Normal,Normal,,"Run Away, Pickup, Skill Link",Run Away,Pickup,Skill Link,2,Ambipom
Ambipom,,75,100,66,115,60,66,482,Normal,Normal,,"Technician, Pickup, Skill Link",Technician,Pickup,Skill Link,2,
Sunkern,,30,30,30,30,30,30,180,Grass,Grass,,"Chlorophyll, Solar Power, Early Bird",Chlorophyll,Solar Power,Early Bird,2,Sunflora (Sun Stone)
Sunflora,,75,75,55,30,105,85,425,Grass,Grass,,"Chlorophyll, Solar Power, Early Bird",Chlorophyll,Solar Power,Early Bird,2,
Yanma,,65,65,45,95,75,45,390,"Bug, Flying",Bug,Flying,"Speed Boost, Compound Eyes, Frisk",Speed Boost,Compound Eyes,Frisk,2,Yanmega
Yanmega,,86,76,86,95,116,56,515,"Bug, Flying",Bug,Flying,"Speed Boost, Tinted Lens, Frisk",Speed Boost,Tinted Lens,Frisk,2,
Wooper,,55,45,45,15,25,25,210,"Water, Ground",Water,Ground,"Damp, Water Absorb, Unaware",Damp,Water Absorb,Unaware,2,Quagsire (20)
Quagsire,,95,85,85,35,65,65,430,"Water, Ground",Water,Ground,"Damp, Water Absorb, Unaware",Damp,Water Absorb,Unaware,2,
Wooper,Paldea,55,45,45,15,25,25,210,"Poison, Ground",Poison,Ground,"Poison Point, Water Absorb, Unaware",Poison Point,Water Absorb,Unaware,2,Clodsire (20)
Clodsire,,130,75,60,20,45,100,430,"Poison, Ground",Poison,Ground,"Poison Point, Water Absorb, Unaware",Poison Point,Water Absorb,Unaware,2,
Murkrow,,60,85,42,91,85,42,405,"Dark, Flying",Dark,Flying,"Insomnia, Super Luck, Prankster",Insomnia,Super Luck,Prankster,2,Honchkrow (Dusk Stone)
Honchkrow,,100,125,52,71,105,52,505,"Dark, Flying",Dark,Flying,"Insomnia, Super Luck, Moxie",Insomnia,Super Luck,Moxie,2,
Misdreavus,,60,60,60,85,85,85,435,Ghost,Ghost,,"Levitate, None, None",Levitate,None,None,2,Mismagius (Dusk Stone)
Mismagius,,60,60,60,105,105,105,495,Ghost,Ghost,,"Levitate, None, None",Levitate,None,None,2,
Wynaut,,95,23,48,23,23,48,260,Psychic,Psychic,,"Shadow Tag, None, Telepathy",Shadow Tag,None,Telepathy,2,Wobbuffet (15)
Wobbuffet,,190,33,58,33,33,58,405,Psychic,Psychic,,"Shadow Tag, None, Telepathy",Shadow Tag,None,Telepathy,2,
Girafarig,,70,80,65,85,90,65,455,"Normal, Psychic",Normal,Psychic,"Inner Focus, Early Bird, Sap Sipper",Inner Focus,Early Bird,Sap Sipper,2,Farigiraf
Farigiraf,,120,90,70,60,110,70,520,"Normal, Psychic",Normal,Psychic,"Cud Chew, Armor Tail, Sap Sipper",Cud Chew,Armor Tail,Sap Sipper,2,
Pineco,,50,65,90,15,35,35,290,Bug,Bug,,"Sturdy, None, Overcoat",Sturdy,None,Overcoat,2,Forretress (31)
Forretress,,75,90,140,40,60,60,465,"Bug, Steel",Bug,Steel,"Sturdy, None, Overcoat",Sturdy,None,Overcoat,2,
Dunsparce,,100,70,70,45,65,65,415,Normal,Normal,,"Serene Grace, Run Away, Rattled",Serene Grace,Run Away,Rattled,2,"Dudunsparce Two Segment, Dudunsparce Three Segment"
Dudunsparce,Two Segment,125,100,80,55,85,75,520,Normal,Normal,,"Serene Grace, Run Away, Rattled",Serene Grace,Run Away,Rattled,2,
Dudunsparce,Three Segment,125,100,80,55,85,75,520,Normal,Normal,,"Serene Grace, Run Away, Rattled",Serene Grace,Run Away,Rattled,2,
Gligar,,65,75,105,85,35,65,430,"Ground, Flying",Ground,Flying,"Hyper Cutter, Sand Veil, Immunity",Hyper Cutter,Sand Veil,Immunity,2,"Gliscor, Gliscor"
Gliscor,,75,95,125,95,45,75,510,"Ground, Flying",Ground,Flying,"Hyper Cutter, Sand Veil, Poison Heal",Hyper Cutter,Sand Veil,Poison Heal,2,
Snubbull,,60,80,50,30,40,40,300,Fairy,Fairy,,"Intimidate, Run Away, Rattled",Intimidate,Run Away,Rattled,2,Granbull (23)
Granbull,,90,120,75,45,60,60,450,Fairy,Fairy,,"Intimidate, Quick Feet, Rattled",Intimidate,Quick Feet,Rattled,2,
Qwilfish,,65,95,85,85,55,55,440,"Water, Poison",Water,Poison,"Poison Point, Swift Swim, Intimidate",Poison Point,Swift Swim,Intimidate,2,
Qwilfish,Hisui,65,95,85,85,55,55,440,"Dark, Poison",Dark,Poison,"Poison Point, Swift Swim, Intimidate",Poison Point,Swift Swim,Intimidate,2,Overqwil
Overqwil,,85,115,95,85,65,65,510,"Dark, Poison",Dark,Poison,"Poison Point, Swift Swim, Intimidate",Poison Point,Swift Swim,Intimidate,2,
Shuckle,,20,10,230,5,10,230,505,"Bug, Rock",Bug,Rock,"Sturdy, Gluttony, Contrary",Sturdy,Gluttony,Contrary,2,
Heracross,,80,125,75,85,40,95,500,"Bug, Fighting",Bug,Fighting,"Swarm, Guts, Moxie",Swarm,Guts,Moxie,2,
Heracross,Mega,80,185,115,75,40,105,600,"Bug, Fighting",Bug,Fighting,"Skill Link, Skill Link, Skill Link",Skill Link,Skill Link,Skill Link,2,
Sneasel,,55,95,55,115,35,75,430,"Dark, Ice",Dark,Ice,"Inner Focus, Keen Eye, Pickpocket",Inner Focus,Keen Eye,Pickpocket,2,"Weavile, Weavile"
Weavile,,70,120,65,125,45,85,510,"Dark, Ice",Dark,Ice,"Pressure, None, Pickpocket",Pressure,None,Pickpocket,2,
Sneasel,Hisui,55,95,55,115,35,75,430,"Fighting, Poison",Fighting,Poison,"Inner Focus, Keen Eye, Pickpocket",Inner Focus,Keen Eye,Pickpocket,2,"Sneasler, Sneasler"
Sneasler,,80,130,60,120,40,80,510,"Fighting, Poison",Fighting,Poison,"Pressure, Unburden, Poison Touch",Pressure,Unburden,Poison Touch,2,
Teddiursa,,60,80,50,40,50,50,330,Normal,Normal,,"Pickup, Quick Feet, Honey Gather",Pickup,Quick Feet,Honey Gather,2,Ursaring (30)
Ursaring,,90,130,75,55,75,75,500,Normal,Normal,,"Guts, Quick Feet, Unnerve",Guts,Quick Feet,Unnerve,2,Ursaluna
Ursaluna,,130,140,105,50,45,80,550,"Ground, Normal",Ground,Normal,"Guts, Bulletproof, Unnerve",Guts,Bulletproof,Unnerve,2,
Ursaluna,Bloodmoon,113,70,120,52,135,65,555,"Ground, Normal",Ground,Normal,"Minds Eye, None, None",Minds Eye,None,None,2,
Slugma,,40,40,40,20,70,40,250,Fire,Fire,,"Magma Armor, Flame Body, Weak Armor",Magma Armor,Flame Body,Weak Armor,2,Magcargo (38)
Magcargo,,60,50,120,30,90,80,430,"Fire, Rock",Fire,Rock,"Magma Armor, Flame Body, Weak Armor",Magma Armor,Flame Body,Weak Armor,2,
Swinub,,50,50,40,50,30,30,250,"Ice, Ground",Ice,Ground,"Oblivious, Snow Cloak, Thick Fat",Oblivious,Snow Cloak,Thick Fat,2,Piloswine (33)
